Person ID number,Age,Gender,Education_yrs,Religion,Bats_increasing,Bats_decreasing,Bats_same,Contact,Past_eat_bat,Eat_bat,Past_catch_bats,Catch_bats,Prepare_eat,Past_mine_guano,Mine_guano,Leave_sick,Move_sick,Care_sick,Kill_sick,Give_sick,Eat_sick,Other_sick,Bat_harm_humans
76,30-39,F,12,Christian,,,c,No,Yes,Will eat,No,No,Yes,No,No,,,,,,f,,No
77,40-49,F,12,Methodist,,,c,No,Yes,No,No,No,Yes,No,No,,,c,,,,,No
78,25-30,F,13+,Methodist,,b,,No,Yes,Yes,No,No,Yes,No,No,a,,,,,,,Yes
79,60+,F,8,Methodist,a,,,Yes,Yes,Yes,Yes,No,Yes,No,No,a,,,,,,,Yes
79,,,,,,,,,Yes,No,Yes,No,Yes,,,,,,,,,,
80,40-49,M,9,Methodist,,b,,Yes,Yes,Yes,Yes,No,Yes,Yes,No,a,,,,,,,No
80,,,,,a,,,,Yes,No,Yes,No,Yes,,,,,,,,,,
81,25-30,M,13+,Christian,,b,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,,,,,f,,No
82,60+,M,6,Christian,a,b,,No,Yes,Will eat,Yes,No,Yes,No,No,,,,,,,All are healthy - never see sick,No
83,25-30,F,13+,Christian,,,c,No,Yes,Will eat,Yes,No,Yes,No,No,,,,d,,f,,No
84,25-30,M,13+,Christian,,b,,Yes,Yes,Yes,Yes,Will go,Yes,No,No,,,,d,,f,,Yes
85,40-49,F,10,Methodist,a,,,No,Yes,Will eat,Yes,No,Yes,No,No,a,,,,,,,Yes
86,40-49,F,13,Methodist,a,,,No,Yes,Will eat,Yes,No,Yes,No,No,,,,,,,Not sure,No
87,60+,M,8,Methodist,,b,,Yes,Yes,Will eat,Yes,Will go,Yes,No,No,,,,,,f,Don't know if it is sick,Yes
88,18-24,M,13,Seventh-day Adventist,a,b,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,,,d,,f,,Yes
89,50-59,M,10,Methodist,,b,,No,Yes,Yes,Yes,Yes,Yes,No,No,,,,,,f,,No
90,40-49,F,12,Methodist,a,,,Yes,Yes,Yes,No,No,Yes,No,No,a,,,,,,,Yes
91,50-59,F,12,Methodist,a,,,Yes,Yes,No,No,No,Yes,No,No,a,,,,,,,Yes
92,60+,M,8,Methodist,a,,,Yes,Yes,Will eat,Yes,No,Yes,No,No,,,,d,,f,,Yes
93,60+,F,8,Methodist,a,,,Yes,Yes,Will eat,No,No,Yes,No,No,,,,,,f,,Yes
94,18-24,F,10,Methodist,a,,,No,Yes,No,No,No,Yes,No,No,a,,,,,,,Yes
95,25-30,M,9,Methodist,a,,,Yes,Yes,Will eat,Yes,Will go,Yes,No,No,,,,,,f,,Yes
96,50-59,M,8,Methodist,a,,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,,,,,f,,Yes
97,60+,M,4,Methodist,a,,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,,,,,f,,Yes
98,40-49,M,12,Methodist,a,,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,b,c,,,,,Yes
99,50-59,M,13+,Catholic,,b,,Yes,Yes,Will eat,Yes,No,Yes,No,No,a,,,,,,,No
99,,,,,,,c,,,,,,,,,,,,,,,,
100,40-49,F,8,Catholic,a,,,Yes,Yes,Will eat,No,No,Yes,No,No,a,,,,,,,Yes
101,18-24,M,11,Methodist,a,b,,No,Yes,Will eat,Yes,No,No,No,No,a,,,,,,,Yes
102,40-49,M,10,Methodist,a,,,Yes,Yes,Will eat,Yes,Will go,Yes,No,No,,,,,,f,,Yes
103,25-30,M,10,Catholic,a,,,Yes,Yes,Yes,Yes,Yes,No,No,No,,,,,,f,,Yes
104,25-30,M,8,Methodist,,,c,Yes,Yes,Yes,Yes,Yes,No,No,No,,,,,,f,,Yes
105,60+,M,8,Methodist,,,c,Yes,Yes,Will eat,Yes,No,Yes,No,No,a,,,,,f,,No
106,18-24,M,13+,Christian,,b,,No,Yes,No,No,No,No,No,No,a,,,,,,,No
